 


  
  

NCAA Men's Soccer
Division IGoals Against Average
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Goalie Min. Plyd","GA","GAA"
"1","Hunter Morse","Western Mich.","Sr.","GK","21","1907:57","10","0.472"
"2","Danny DiMarco","Manhattan","Jr.","GK","14","1200:48","7","0.525"
"3","Eliot Hamill","Duke","Sr.","GK","19","1710:00","11","0.579"
"4","Lute Lillo Portero","Omaha","Jr.","GK","9","765:00","5","0.588"
"5","Jassem Koleilat","New Hampshire","Sr.","GK","20","1802:58","12","0.599"
"6","Harry Townsend","Missouri St.","Jr.","GK","18","1620:00","11","0.611"
"7","Francesco Montali","Boston U.","Sr.","GK","16","1451:23","10","0.620"
"8","Brendan Graves","Bowling Green","Jr.","GK","16","1440:00","10","0.625"
"9","Ryan Bilichuk","Elon","Sr.","GK","19","1710:00","12","0.632"
"10","Gianluca Cersosimo","LIU","Sr.","GK","12","1100:00","8","0.655"
"11","Alex Vidizzoni","Evansville","Sr.","GK","17","1439:25","11","0.688"
"12","Alex Sutton","Lafayette","Sr.","GK","17","1530:00","12","0.706"
"13","Nathan Silveira","Vermont","Sr.","GK","21","1865:29","15","0.724"
"14","Isaac Nehme","Denver","Fr.","GK","21","1859:08","15","0.726"
"15","Michael Sibley","Lipscomb","Sr.","GK","19","1726:48","14","0.730"
"16","Russell Shealy","Syracuse","Sr.","GK","24","2220:00","18","0.730"
"17","Simon Jillson","Loyola Chicago","Sr.","GK","18","1602:35","13","0.730"
"18","Ryan Schewe","Georgetown","Jr.","GK","15","1345:00","11","0.736"
"19","Oliver Semmle","Marshall","Sr.","GK","19","1707:54","14","0.738"
"20","Joseph Andema","Clemson","Fr.","GK","16","1440:00","12","0.750"
"21","Casper Mols","Kentucky","Fr.","GK","16","1417:27","12","0.762"
"22","Alex Bobocea","Loyola Maryland","So.","GK","15","1299:17","11","0.762"
"23","Nick Christoffersen","Penn","Sr.","GK","18","1636:15","14","0.770"
"24","Cole Hunter","ETSU","Sr.","GK","14","1260:00","11","0.786"
"","Luis Ludosan","Saint Joseph's","Jr.","GK","14","1260:00","11","0.786"
"26","Sam Fowler","Washington","Jr.","GK","14","1243:51","11","0.796"
"27","Edu Rodriguez","Campbell","Jr.","GK","13","1115:41","10","0.807"
"28","Tobias Jahn","Green Bay","So.","GK","16","1440:00","13","0.813"
"29","Gabriel Perrotta","UNCW","Sr.","GK","17","1409:07","13","0.830"
"30","Shafique Wilson","UAlbany","Jr.","GK","15","1350:00","13","0.867"
"31","Dario Caetano","Dayton","Jr.","GK","17","1550:00","15","0.871"
"32","Carlos Tofern","Saint Louis","Sr.","GK","17","1545:00","15","0.874"
"33","Pierce Holbrook","Navy","So.","GK","19","1730:00","17","0.884"
"34","Cole Jensen","Xavier","Sr.","GK","18","1620:00","16","0.889"
"35","Domenic Nascimben","Duquesne","Sr.","GK","19","1710:00","17","0.895"
"36","Alec McLachlan","St. Francis Brooklyn","Fr.","GK","14","1300:00","13","0.900"
"37","Matt Frank","Stanford","Sr.","GK","20","1786:09","18","0.907"
"38","George Tasouris","Portland","Sr.","GK","21","1875:57","19","0.912"
"39","Thomas Wallis","Charlotte","Jr.","GK","13","1170:00","12","0.923"
"40","Keagan McLaughlin","Ohio St.","Sr.","GK","16","1460:00","15","0.925"
