 


  
  

NCAA Men's Soccer
Division IGoals Per Game
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Goals","Per Game"
"1","Duncan McGuire","Creighton","Jr.","F","24","23","0.96"
"2","Lucca Dourado","UCF","Jr.","F","13","11","0.85"
"3","Eliot Goldthorp","Hofstra","So.","M","21","17","0.81"
"4","Emil Jaaskelainen","LIU","Jr.","F","15","12","0.80"
"5","Shaun Joash","Grand Canyon","Sr.","F","16","12","0.75"
"","Stefan Sigurdarson","Boston College","Sr.","F","16","12","0.75"
"7","Ryan Becher","UMBC","Sr.","M","18","13","0.72"
"8","Knut Ahlander","SMU","Sr.","M","17","12","0.71"
"9","David Bercedo","Quinnipiac","Sr.","F","21","14","0.67"
"","Gage Guerra","Army West Point","So.","F","15","10","0.67"
"","Alex Meinhard","Tulsa","Jr.","F","15","10","0.67"
"12","Finn Ballard McBride","UC Santa Barbara","Sr.","F","20","13","0.65"
"13","Taylor Calheira","UMBC","Jr.","F","17","11","0.65"
"","Jelldrik Dallmann","Lipscomb","Sr.","F","17","11","0.65"
"","Thaddaeus Dewing","Air Force","Jr.","F","17","11","0.65"
"","Kieran Richards","ETSU","Sr.","M","17","11","0.65"
"17","Alvaro Garcia-Pascual","Coastal Carolina","So.","F","16","10","0.63"
"18","MD Myers","Rutgers","Sr.","F","21","13","0.62"
"19","Stas Korzeniowski","Penn","So.","F","18","11","0.61"
"","Ben Stitz","Penn","Sr.","M","18","11","0.61"
"21","Alec Hughes","Massachusetts","Jr.","F","17","10","0.59"
"22","Ilijah Paul","Washington","So.","F","19","11","0.58"
"23","Brandon Cambridge","Portland","So.","M","21","12","0.57"
"24","Kameron Lacey","Charlotte","Sr.","F","16","9","0.56"
"","Nikolai Rojel","Wofford","Fr.","F","16","9","0.56"
"26","Liam Butts","Penn St.","Sr.","F","13","7","0.54"
"27","Paolo Carroll","Yale","Sr.","F","15","8","0.53"
"","AJ Franklin","Drake","Jr.","F","15","8","0.53"
"29","Felipe D'Agostini","Oral Roberts","So.","M","17","9","0.53"
"","Denis Krioutchenkov","Davidson","Fr.","F","17","9","0.53"
"","Alex Nagy","Vermont","Sr.","M","17","9","0.53"
"32","Stephen Afrifa","FIU","Sr.","F","19","10","0.53"
"","Palmer Ault","Butler","Fr.","F","19","10","0.53"
"","Matthew Bell","Marshall","Fr.","F","19","10","0.53"
"","Eythor Bjorgolfsson","Kentucky","Sr.","F","19","10","0.53"
"","Shakur Mohammed","Duke","So.","M","19","10","0.53"
"37","Casper Grening","Kentucky","So.","M","21","11","0.52"
"","Noah Holmes","High Point","Sr.","F","21","11","0.52"
"","Valentin Noel","Pittsburgh","Sr.","M","21","11","0.52"
"","Charlie Sharp","Western Mich.","Sr.","M","21","11","0.52"
"41","Patrick Agyemang","Rhode Island","Sr.","F","14","7","0.50"
"","Rodrigo Almeida","Niagara","Sr.","F","20","10","0.50"
"","Sebastian Andreassen","Central Ark.","Sr.","F","16","8","0.50"
"","Ismail El Harchi","UNC Greensboro","Sr.","F","20","10","0.50"
"","Chris Elliott","Col. of Charleston","Fr.","F","16","8","0.50"
"","Bryant Farkarlun","Houston Christian","Sr.","F","18","9","0.50"
"","Bojan Kolevski","Cleveland St.","Jr.","F","20","10","0.50"
"","Peter Mangione","Penn St.","Jr.","F","16","8","0.50"
"","Lucas Meek","Washington","Sr.","M","20","10","0.50"
"","Nicolo Mulatero","Missouri St.","Sr.","F","18","9","0.50"
"","Max Murray","Vermont","Jr.","F","20","10","0.50"
"","Jose Ortiz","SMU","Jr.","F","14","7","0.50"
"","Jack Sarkos","Lehigh","Sr.","F","16","8","0.50"
"","Jason Shokalook","Akron","So.","F","18","9","0.50"
"","Joshua Torres","UIC","So.","-","16","8","0.50"
"","Owen Zaldivar","Gardner-Webb","Sr.","F","14","7","0.50"
"57","Ryan Carmichael","Hofstra","Jr.","F","21","10","0.48"
"","Tomas Svecula","Quinnipiac","Sr.","F","21","10","0.48"
"59","Nacho Diaz Barragan","Evansville","So.","F","19","9","0.47"
"","Josemir Gomez","IUPUI","Fr.","F","19","9","0.47"
"61","Sam Donnellan","Delaware","Fr.","F","17","8","0.47"
"","Jalen James","Campbell","Sr.","F","17","8","0.47"
"","Thomas Stor�deg�rd","Siena","So.","F","17","8","0.47"
"","Milo Yosef","Marshall","Sr.","F","17","8","0.47"
"65","Davi Alves","FGCU","Sr.","M","15","7","0.47"
"","Fahmi Ibrahim","California","Sr.","F","15","7","0.47"
"","Ben Zakowski","Monmouth","Sr.","F","15","7","0.47"
"68","Camil Azzam Ruiz","Iona","Sr.","F","13","6","0.46"
"69","Jackson Castro","Creighton","So.","M","22","10","0.45"
"70","Eli Goldman","New Hampshire","Jr.","M","20","9","0.45"
"","Pablo Kawecki","Cleveland St.","Sr.","M","20","9","0.45"
"72","Alberto Cruz","Memphis","Fr.","F","18","8","0.44"
"","Marcos Kitromilides","Lafayette","Sr.","F","18","8","0.44"
"74","Levonte Johnson","Syracuse","Sr.","F","25","11","0.44"
"","Nathan Opoku","Syracuse","So.","F","25","11","0.44"
"76","Ryan Clare","Princeton","Sr.","D","16","7","0.44"
"","Logan Farrington","Milwaukee","So.","F","16","7","0.44"
"","Chase Gilley","Robert Morris","Jr.","F","16","7","0.44"
"","Jamin Gogo Peters","Brown","Fr.","F","16","7","0.44"
"","Oscar Haynes Brown","George Washington","Sr.","F","16","7","0.44"
"","Max Keenan","Wisconsin","Jr.","M","16","7","0.44"
"","Fredrik Skilberg","SMU","Fr.","F","16","7","0.44"
"","Max Wilkins","Georgia St.","Sr.","F","16","7","0.44"
"84","David Alino","Dartmouth","Sr.","F","14","6","0.43"
"","Matthew Wrobel","St. Bonaventure","So.","-","14","6","0.43"
"86","Sebastian Cruz","Cal St. Fullerton","Jr.","M","19","8","0.42"
"","Ask Ekeland","Duquesne","Fr.","M","19","8","0.42"
"","Bertin Jacquesson","Pittsburgh","Jr.","F","19","8","0.42"
"","Brandon Morales","Cornell","Sr.","M","19","8","0.42"
"","Hayes Wood","Lipscomb","Sr.","F","19","8","0.42"
"","Shane de Flores","Stanford","So.","M","19","8","0.42"
