 


  
  

NCAA Men's Soccer
Division ISaves Per Game
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Goalie Min. Plyd","Saves","Per Game"
"1","Rotem Fadida","Hartford","Jr.","GK","12","1022:54","78","6.50"
"2","Michael Sly Jr.","Oakland","So.","GK","17","1458:36","98","5.76"
"3","Luca Marinelli","Bryant","So.","GK","12","1080:00","69","5.75"
"4","Jacob Heihsel","UMass Lowell","Sr.","GK","12","1080:00","68","5.67"
"5","Gabe Calhoun","VMI","Sr.","GK","15","1350:00","84","5.60"
"6","Chad Smith","Eastern Ill.","So.","GK","16","1388:42","88","5.50"
"7","Jonathan Kliewer","Detroit Mercy","So.","GK","17","1530:00","93","5.47"
"8","JR Gawel","Howard","Fr.","GK","15","1260:00","82","5.47"
"9","Joseba Incera","Radford","Sr.","GK","11","990:00","60","5.45"
"10","William Howard","Canisius","Sr.","GK","17","1530:00","90","5.29"
"11","Ethan Russell","Mount St. Mary's","Jr.","GK","17","1530:00","88","5.18"
"12","Jules Dechert","St. Bonaventure","Jr.","GK","10","881:01","51","5.10"
"13","Nick Burke","Bradley","Jr.","GK","13","1136:18","66","5.08"
"14","Christian Garner","Northwestern","Sr.","GK","13","1170:00","64","4.92"
"15","Eoin Gawronski","Temple","Jr.","GK","12","1064:52","58","4.83"
"16","Luca Bulfon","USC Upstate","Sr.","GK","17","1530:00","81","4.76"
"17","Michael Statham","Old Dominion","Fr.","GK","16","1363:55","76","4.75"
"18","Jordaine Jaeger","Saint Francis (PA)","Fr.","GK","16","1437:46","75","4.69"
"19","Owen Finnerty","Michigan St.","Sr.","GK","17","1515:52","79","4.65"
"20","Alex Aitken","Houston Christian","Fr.","GK","19","1691:00","88","4.63"
"21","Eric Bauche","SIUE","Sr.","GK","8","720:00","37","4.63"
"22","Daniel Bermingham","Northern Ky.","Sr.","GK","9","765:00","41","4.56"
"","Edmond Kaiser","Stony Brook","Sr.","GK","9","810:00","41","4.56"
"24","Gandhi Cruz","DePaul","Jr.","GK","16","1440:00","72","4.50"
"25","Domenic Nascimben","Duquesne","Sr.","GK","19","1710:00","85","4.47"
"26","Greg Monroe","Siena","Sr.","GK","19","1701:09","84","4.42"
"27","Owen Jack","Stetson","Jr.","GK","12","1100:00","53","4.42"
"28","Neil Strauber","Fla. Atlantic","Sr.","GK","10","900:00","44","4.40"
"29","Daniel Wilmore","Central Conn. St.","Sr.","GK","11","945:00","48","4.36"
"30","Lucas Morefield","IUPUI","Jr.","GK","17","1530:00","74","4.35"
"31","Jack Hudson","UAB","Sr.","GK","14","1260:00","60","4.29"
"32","Akili Kasim","Seattle U","Sr.","GK","18","1620:00","77","4.28"
"33","Gijs Van Schouten","Milwaukee","So.","GK","11","953:22","47","4.27"
"34","Guillem Badenes Mecho","Saint Peter's","Sr.","GK","17","1530:00","72","4.24"
"35","Ryan Gross","Lehigh","So.","GK","9","764:22","38","4.22"
"36","Ben Roberts","Furman","Sr.","GK","17","1478:40","71","4.18"
"37","Jonathan Burke","Drake","Sr.","GK","15","1340:51","62","4.13"
"38","Gunther Rankenburg","Georgia St.","Sr.","GK","17","1513:15","70","4.12"
"39","Carlos Gonzalez","UC Riverside","Jr.","GK","20","1800:00","82","4.10"
"40","Sebastian Jimenez","Wright St.","Sr.","GK","11","956:45","45","4.09"
"41","Gianluca Cersosimo","LIU","Sr.","GK","12","1100:00","49","4.08"
"42","Costi Christodoulou","Dartmouth","So.","GK","15","1255:50","61","4.07"
"","Hugo Constant","UIW","Fr.","F","15","1282:29","61","4.07"
"","Kris Shakes","Penn St.","Sr.","GK","15","1350:00","61","4.07"
"","Shafique Wilson","UAlbany","Jr.","GK","15","1350:00","61","4.07"
"46","James Anderson","Fairfield","Jr.","GK","18","1620:00","73","4.06"
"47","Colin Welsh","Memphis","So.","GK","19","1738:23","77","4.05"
"","Cooper Wenzel","CSUN","So.","GK","19","1710:00","77","4.05"
"49","Cooper Clark","Kansas City","Sr.","GK","17","1458:42","68","4.00"
"","Johan Garibay","Gonzaga","Jr.","GK","18","1551:42","72","4.00"
"","Alec McLachlan","St. Francis Brooklyn","Fr.","GK","14","1300:00","56","4.00"
"52","Gabriel Perrotta","UNCW","Sr.","GK","17","1409:07","67","3.94"
"","Matt Zambetti","Massachusetts","Sr.","GK","17","1451:08","67","3.94"
"54","Leo Stritter","Presbyterian","Fr.","GK","16","1380:55","63","3.94"
"55","Guillaume Veinante","Rider","Sr.","GK","17","1485:52","66","3.88"
"56","Jake  Langley","George Mason","Sr.","GK","15","1340:53","58","3.87"
"57","Eric Cotton","Pacific","Sr.","GK","13","1080:00","50","3.85"
"58","Dagoberto Romero","Ga. Southern","Fr.","GK","12","972:00","46","3.83"
"59","Zenden Hart","St. John's (NY)","Fr.","GK","11","931:57","42","3.82"
"60","Ryan Schewe","Georgetown","Jr.","GK","15","1345:00","57","3.80"
"61","Andrew Sway","UNLV","Jr.","GK","14","1260:00","53","3.79"
"62","Kent Dickey","Villanova","Sr.","GK","17","1530:00","64","3.76"
"","Alex Flowers","Western Ill.","Jr.","GK","17","1530:00","64","3.76"
"64","Michael Collodi","Columbia","Sr.","GK","15","1350:00","56","3.73"
"65","Javier Ramirez","Gardner-Webb","Fr.","GK","14","1187:26","52","3.71"
"66","Juanvi Mu�oz","UCF","Fr.","GK","13","1170:00","48","3.69"
"67","Ben Martino","Virginia Tech","So.","GK","16","1409:29","59","3.69"
"","Mats Roorda","Binghamton","Sr.","GK","16","1440:18","59","3.69"
"69","Luis Ludosan","Saint Joseph's","Jr.","GK","14","1260:00","51","3.64"
"","Oskar Nilsson","Harvard","Sr.","GK","14","1239:28","51","3.64"
"71","Pierce Holbrook","Navy","So.","GK","19","1730:00","69","3.63"
"72","Filippo Dadone","CSU Bakersfield","Jr.","GK","16","1313:06","58","3.63"
"73","Hunter Morse","Western Mich.","Sr.","GK","21","1907:57","76","3.62"
"74","Edgar Guerra","Sacramento St.","Fr.","GK","10","859:55","36","3.60"
"","Bram Kaarsgaren","SMU","Sr.","GK","10","861:34","36","3.60"
"76","Adam Vik","Delaware","Fr.","GK","17","1530:00","61","3.59"
"77","Sebastian Conlon","James Madison","Fr.","GK","19","1698:39","68","3.58"
"78","Leon Schmidt","Grand Canyon","So.","GK","14","1221:35","50","3.57"
"79","Tobias Jahn","Green Bay","So.","GK","16","1440:00","57","3.56"
"80","Olly Marshall","Col. of Charleston","Fr.","GK","11","990:00","39","3.55"
"81","John Byszewski","Air Force","Sr.","GK","15","1336:51","53","3.53"
"","Henrik Weiper","Brown","Fr.","GK","15","1350:00","53","3.53"
"83","Justin Grady","George Washington","Sr.","GK","17","1410:43","60","3.53"
"84","Samuel Reisgys","NJIT","Sr.","GK","16","1395:00","56","3.50"
"","Leroy Zeller","UC Santa Barbara","Jr.","GK","20","1820:00","70","3.50"
"86","Jeremy Coste","Oral Roberts","Sr.","GK","17","1550:00","59","3.47"
"","Spencer King","FDU","Sr.","GK","17","1440:00","59","3.47"
"88","Trevor McMullen","Mercer","Jr.","GK","15","1350:00","52","3.47"
"89","Marco Seyfert","Chicago St.","Sr.","GK","13","1170:00","45","3.46"
"90","Joe van der Sar","Pittsburgh","Sr.","GK","22","2020:00","76","3.45"
"91","Jackson Weyman","South Fla.","Sr.","GK","20","1800:00","69","3.45"
"92","Gabriel Gjergji","Butler","Sr.","GK","19","1678:48","65","3.42"
"93","Juan Alfaro Monge","Iona","So.","GK","17","1530:00","58","3.41"
"94","Elian Haddock","Yale","Sr.","GK","15","1350:00","51","3.40"
"","Lucas Hatsios","NC State","So.","GK","15","1370:00","51","3.40"
"96","Alessandro Capogna","Drexel","Jr.","GK","18","1619:22","61","3.39"
"","Karl Netzell","Quinnipiac","Fr.","GK","18","1595:00","61","3.39"
"98","Hayden Evans","Michigan","So.","GK","13","1170:00","44","3.38"
"99","Ben Alexander","South Carolina","Fr.","GK","16","1436:58","54","3.38"
"","Max Hinke","Rhode Island","Fr.","GK","16","1440:00","54","3.38"
"","Eric Waltz","San Francisco","Jr.","GK","16","1394:11","54","3.38"
"102","Holden Brown","Virginia","So.","GK","19","1750:00","64","3.37"
"","David Sweeney","San Jose St.","Sr.","GK","19","1730:00","64","3.37"
"104","Chandler Hallwood","Marquette","Sr.","GK","11","984:26","37","3.36"
"105","Martin Sanchez","NIU","Sr.","GK","14","1226:54","47","3.36"
"106","Colby Hegarty","Northeastern","Jr.","GK","18","1620:00","60","3.33"
"","Collin Travasos","California","Jr.","GK","15","1333:19","50","3.33"
"108","Nate Crockford","UCLA","So.","GK","19","1710:00","63","3.32"
"","Luke Pruter","UC Irvine","Jr.","GK","19","1730:00","63","3.32"
"110","Carter Abbott","Wisconsin","Sr.","GK","16","1460:00","53","3.31"
"","Ciaran Dalton","Rutgers","Fr.","GK","16","1460:00","53","3.31"
"","Keagan McLaughlin","Ohio St.","Sr.","GK","16","1460:00","53","3.31"
"113","Hannes Ronnholmen","Seton Hall","Sr.","GK","17","1530:00","56","3.29"
"","Justin Siegel","Sacred Heart","Sr.","GK","17","1524:04","56","3.29"
"115","Alex Lopez","Tulsa","So.","GK","14","1300:00","46","3.29"
"116","Cole Jensen","Xavier","Sr.","GK","18","1620:00","59","3.28"
"117","Wyatt Kistner","FGCU","Jr.","GK","15","1349:56","49","3.27"
"","Josh Tubbs","Holy Cross","So.","GK","15","1280:51","49","3.27"
"119","Jason Dubrovich","San Diego","Sr.","GK","19","1730:00","62","3.26"
"120","Brennan Klein","Boston College","Jr.","GK","12","1003:11","39","3.25"
"","Paul Kruse","Creighton","Sr.","GK","24","2084:41","78","3.25"
"","Francesco Montali","Boston U.","Sr.","GK","16","1451:23","52","3.25"
"123","Mitchell Wilson","LMU (CA)","Sr.","GK","18","1620:00","58","3.22"
"124","Joey Batrouni","Coastal Carolina","So.","GK","14","1203:14","45","3.21"
"125","Tetsuya Kadono","Cal St. Fullerton","Jr.","GK","19","1637:32","61","3.21"
"126","Demetri Skoumbakis","Fordham","Sr.","GK","10","900:00","32","3.20"
"127","Eliot Hamill","Duke","Sr.","GK","19","1710:00","60","3.16"
"128","Thomas Wallis","Charlotte","Jr.","GK","13","1170:00","41","3.15"
"129","Zach Schawl","Central Ark.","Jr.","GK","15","1306:57","47","3.13"
"130","Alex Vidizzoni","Evansville","Sr.","GK","17","1439:25","53","3.12"
"131","George Tasouris","Portland","Sr.","GK","21","1875:57","65","3.10"
"132","A.J. Bengds","UNC Asheville","Fr.","GK","11","791:43","34","3.09"
"133","William Watson","Princeton","So.","GK","12","975:37","37","3.08"
"134","Jacob Castro","San Diego St.","Jr.","GK","17","1530:00","52","3.06"
"","Sam Ilin","Marist","Sr.","GK","17","1523:43","52","3.06"
"136","Lukas Burns","Providence","Jr.","GK","11","990:00","33","3.00"
"","Eryk Dymora","Monmouth","So.","GK","15","1324:56","45","3.00"
"","John Ermini","VCU","So.","GK","16","1289:01","48","3.00"
"","Jabari Gray","Jacksonville","Jr.","GK","10","810:00","30","3.00"
"","Tomas Hut","Army West Point","So.","GK","14","1204:33","42","3.00"
"","Nate Logan","Belmont","Sr.","GK","17","1530:00","51","3.00"
"","Giacomo Piccardo","Davidson","Sr.","GK","11","966:19","33","3.00"
"","Nolan Premack","California Baptist","Jr.","GK","19","1730:00","57","3.00"
"","Russell Shealy","Syracuse","Sr.","GK","24","2220:00","72","3.00"
"145","Cameron Victor","Wofford","Jr.","GK","17","1530:00","50","2.94"
"146","Andrew Cooke","Colgate","Jr.","GK","16","1395:00","47","2.94"
"","Alexandre Durand","Longwood","Sr.","GK","16","1291:56","47","2.94"
"148","Kash Oladapo","Saint Mary's (CA)","Jr.","GK","13","1170:00","38","2.92"
"149","Felix Schaefer","Santa Clara","Jr.","GK","12","1062:40","35","2.92"
"150","Carlos Tofern","Saint Louis","Sr.","GK","17","1545:00","49","2.88"
Reclassifying
"NR","Alvaro Rodriguez","Merrimack","So.","GK","17","1516:04","92","5.41"
"NR","Tucker Mann","St. Thomas (MN)","Jr.","GK","12","1072:50","59","4.92"
"NR","Ryan Coutu","Stonehill","Jr.","GK","11","855:00","53","4.82"
"NR","Alec Meissner","Southern Ind.","Jr.","GK","16","1412:10","73","4.56"
"NR","Meldin Sabotic","Lindenwood","Fr.","GK","14","1170:00","55","3.93"
"NR","Javier Cuervo","Queens (NC)","Fr.","GK","9","776:13","33","3.67"
"NR","Dominic Peters","UC San Diego","Sr.","GK","17","1395:00","60","3.53"
"NR","Jacob Zimmerman","Utah Tech","So.","GK","11","945:00","38","3.45"
"NR","Matthew Brozovich","Bellarmine","Sr.","GK","15","1390:00","49","3.27"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
