 


  
  

NCAA Men's Soccer
Division ITotal Assists
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Games","Assists"
"1","Nick Gutmann","Kentucky","Sr.","M","21","19"
"2","JC Ngando","UNC Greensboro","So.","M","21","14"
"","Giorgio Probo","Creighton","So.","M","24","14"
"4","Tom Cooklin","George Washington","Sr.","F","17","13"
"","Alexander Stjernegaard","Quinnipiac","Fr.","D","21","13"
"6","Filip Mirkovic","Pittsburgh","Jr.","M","20","12"
"7","Eric Conerty","Western Mich.","Sr.","F","21","11"
"","Willem Ebbinge","Harvard","Jr.","M","16","11"
"9","Ryan Becher","UMBC","Sr.","M","18","10"
"","Dylan Gaither","Mercer","Sr.","M","19","10"
"","Noah Gulden","Lipscomb","Sr.","D","19","10"
"","Chris Meyers","Washington","So.","F","19","10"
"","Sebastian Nava","Portland","So.","M","21","10"
"","Alexander Petraeus","SMU","Fr.","F","16","10"
"","Imanol Rosales","Washington","Jr.","M","20","10"
"16","Carlo Agostinelli","Stanford","Jr.","F","19","9"
"","Shane Anderson","Oral Roberts","Jr.","M","17","9"
"","Gabe Anguil","Milwaukee","So.","M","17","9"
"","Adam Aoumaich","Marshall","Jr.","F","19","9"
"","Lukas Hackaa","IUPUI","Jr.","M","20","9"
"","Stephen Hasse","Niagara","Sr.","M","20","9"
"","Leopoldo Hernandez","UC Riverside","Sr.","M","20","9"
"","Alex Nagy","Vermont","Sr.","M","17","9"
"","Balthi Saunders","Villanova","So.","F","16","9"
"","Cooper Warren","Army West Point","Jr.","M","16","9"
"","Ryan Wittenbrink","Indiana","Sr.","F","24","9"
"","Tyler Young","Campbell","Jr.","M","20","9"
"28","Marco Afonso","UNC Greensboro","Sr.","F","21","8"
"","Charles Ahl","Stetson","So.","M","16","8"
"","Jacob Angeletti","Air Force","Sr.","M","17","8"
"","Alessandro Arlotti","Harvard","So.","F","17","8"
"","Joshua Bolma","Maryland","So.","F","20","8"
"","Jason Bouregy","Rutgers","Jr.","M","20","8"
"","Jackson Castro","Creighton","So.","M","22","8"
"","Connor Drought","Cornell","Sr.","D","18","8"
"","Kyoji Hata","Campbell","Jr.","M","20","8"
"","Malcolm Johnston","Maryland","Sr.","M","17","8"
"","Alexander Levengood","William & Mary","Sr.","M","18","8"
"","Sergi Martinez","Bowling Green","Sr.","F","16","8"
"","Kenji Mboma Dem","Omaha","Jr.","F","16","8"
"","Lucas Meek","Washington","Sr.","M","20","8"
"","Brandon Morales","Cornell","Sr.","M","19","8"
"","Nathan Opoku","Syracuse","So.","F","25","8"
"","Nick Richardson","Maryland","Sr.","M","20","8"
"","Sander Roed","Louisville","So.","M","18","8"
"","Jesus Salazar","Mount St. Mary's","Jr.","M","17","8"
"","Charlie Sharp","Western Mich.","Sr.","M","21","8"
"","Tommy Silva","UCLA","Jr.","D","20","8"
"","Nathan Simeon","San Francisco","Sr.","D","17","8"
"","Reiss Skeen","Saint Peter's","Fr.","M","17","8"
"","Ben Stitz","Penn","Sr.","M","18","8"
"","Jackson Temple","Rutgers","Sr.","M","21","8"
"53","Brage Aasen","Quinnipiac","Sr.","F","12","7"
"","Hayden Anderson","Memphis","Sr.","D","19","7"
"","David Bercedo","Quinnipiac","Sr.","F","21","7"
"","Edrey Caceres","Marquette","So.","M","18","7"
"","Taylor Calheira","UMBC","Jr.","F","17","7"
"","Curt Calov","Syracuse","So.","M","23","7"
"","Brandon Cambridge","Portland","So.","M","21","7"
"","Koby Carr","Charlotte","Sr.","M","14","7"
"","Dyson Clapier","Akron","So.","M","18","7"
"","Brendan Clark","UC Riverside","Sr.","D","20","7"
"","Brad Dildy","Charlotte","Fr.","M","15","7"
"","Nikola Djordjevic","SMU","So.","M","16","7"
"","Nate Dragisich","Duquesne","Jr.","M","19","7"
"","Will Echeverria","Lafayette","Sr.","M","18","7"
"","Emeka Eneli","Cornell","Sr.","F","17","7"
"","Charlie Gaffney","Penn","So.","F","17","7"
"","Billy Hency","Loyola Chicago","Sr.","M","18","7"
"","Daniel Hernandez","Campbell","Sr.","F","20","7"
"","Bryan Iliohan","California Baptist","Sr.","F","21","7"
"","Marko Isakovic","Harvard","So.","M","17","7"
"","Demitrius Kigeya","Gonzaga","Sr.","F","18","7"
"","Eythor Kjartansson","Coastal Carolina","Fr.","M","16","7"
"","Stas Korzeniowski","Penn","So.","F","18","7"
"","Kameron Lacey","Charlotte","Sr.","F","16","7"
"","Matt Lockwood","Western Mich.","Sr.","D","21","7"
"","Julian Madrigal","Cal St. Fullerton","So.","F","18","7"
"","Justin Mclean","Georgia St.","Fr.","M","19","7"
"","Mike Melaragni","Western Mich.","Sr.","F","20","7"
"","MD Myers","Rutgers","Sr.","F","21","7"
"","Diba Nwegbo","William & Mary","Sr.","F","17","7"
"","Nick Pariano","Duke","Jr.","M","19","7"
"","Samory Powder","Detroit Mercy","Jr.","F","16","7"
"","Moussa Sabaly","Jacksonville","Jr.","M","15","7"
"","Louis Sala","Michigan St.","Sr.","M","16","7"
"","Anthony Samways","Ohio St.","So.","M","20","7"
"","Nyk Sessock","Indiana","Sr.","D","24","7"
"","Dylan Sing","Western Mich.","Sr.","M","21","7"
"","Christian Sjølander","Northern Ky.","Fr.","M","15","7"
"","Aymane Sordo","Gardner-Webb","Jr.","M","16","7"
"","Tyrese Spicer","Lipscomb","Jr.","F","18","7"
"","Oliver Svalander","Hofstra","Jr.","F","21","7"
"","Ousmane Sylla","Clemson","Jr.","M","18","7"
"","Marlon Tabora","Georgetown","Jr.","F","21","7"
"","Keegan Tingey","Stanford","Sr.","D","20","7"
"","Wan Kuzri Wan Kamal","Akron","So.","M","20","7"
"","Jackson Wrobel","Wofford","So.","M","17","7"
"","Johann von Knebel","New Hampshire","Sr.","M","20","7"
"100","Michael Adedokun","Dayton","Jr.","M","11","6"
"","Raz Amir","Fairfield","Jr.","F","19","6"
"","Sebastian Andreassen","Central Ark.","Sr.","F","16","6"
"","Palmer Ault","Butler","Fr.","F","19","6"
"","Reziq Banihani","Cal St. Fullerton","So.","F","18","6"
"","Sam Bassett","Denver","So.","M","22","6"
"","Reed Berry","Oral Roberts","Sr.","M","17","6"
"","Tim Bielic","Wisconsin","Sr.","M","16","6"
"","Ryan Crooks","West Virginia","Jr.","M","14","6"
"","Sebastian Cruz","Cal St. Fullerton","Jr.","M","19","6"
"","Yusuf Cueceoglu","UTRGV","Sr.","M","17","6"
"","Felipe D'Agostini","Oral Roberts","So.","M","17","6"
"","Mike Eijgendaal","Temple","Sr.","F","16","6"
"","Herbert Endeley","Indiana","Sr.","F","24","6"
"","Nick Fernandez","Portland","Fr.","M","20","6"
"","Jahlane Forbes","Wake Forest","Jr.","D","20","6"
"","Eliot Goldthorp","Hofstra","So.","M","21","6"
"","Hector Gomez","Cleveland St.","Sr.","M","20","6"
"","Lucas Gonzalez","UC Santa Barbara","So.","M","18","6"
"","Omar Grey","Washington","Sr.","D","18","6"
"","D'Alessandro Herrera","Houston Christian","Fr.","M","19","6"
"","Shaun Joash","Grand Canyon","Sr.","F","16","6"
"","Levonte Johnson","Syracuse","Sr.","F","25","6"
"","Kasper Lehm","Elon","Sr.","D","16","6"
"","Kevin Leonhard","FDU","So.","F","19","6"
"","Kyle Linhares","Georgetown","Jr.","M","21","6"
"","Alejandro Lopez","Lipscomb","Sr.","F","18","6"
"","Parker McKnight","Binghamton","Sr.","M","17","6"
"","Schinieder Mimy","Oral Roberts","Jr.","D","14","6"
"","Luis Mueller","California Baptist","Jr.","F","21","6"
"","Yushi Nagao","FIU","Sr.","M","19","6"
"","Andrew Nunez","Oral Roberts","Sr.","F","17","6"
"","Owen O'Malley","Creighton","Jr.","M","23","6"
"","Chris Pinkham","New Hampshire","Sr.","F","19","6"
"","Max Rogers","Yale","Fr.","M","16","6"
"","Lucas Rosa","Pittsburgh","Sr.","M","22","6"
"","Gurman Sangha","Portland","Sr.","M","21","6"
"","Jesper Schone Vogtengen","Siena","So.","D","18","6"
"","Dawsun Schrum","Oakland","Sr.","F","18","6"
"","Mohamed Seye","Clemson","Sr.","F","21","6"
"","Jason Shokalook","Akron","So.","F","18","6"
"","Alejandro Silva","Utah Valley","So.","M","16","6"
"","Jared Smith","Quinnipiac","Jr.","D","20","6"
"","Kyle Tucker","Drexel","Sr.","M","18","6"
"","Scott Vatne","Elon","So.","M","19","6"
"","Lane Warrington","Saint Louis","Sr.","M","20","6"
"","Callum Watson","Creighton","Sr.","M","22","6"
"","Callum Watts","Charlotte","So.","M","16","6"
"","Jansen Wilson","Belmont","Sr.","M","18","6"
"","Robert Winkler","LIU","So.","D","17","6"
"","Ronan Wynne","Denver","Jr.","D","22","6"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
