 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"1","Duncan McGuire","Creighton","Jr.","F","24","23","4","50","2.08"
"2","Ryan Becher","UMBC","Sr.","M","18","13","10","36","2.00"
"3","Eliot Goldthorp","Hofstra","So.","M","21","17","6","40","1.90"
"4","Shaun Joash","Grand Canyon","Sr.","F","16","12","6","30","1.88"
"5","Knut Ahlander","SMU","Sr.","M","17","12","5","29","1.71"
"","Taylor Calheira","UMBC","Jr.","F","17","11","7","29","1.71"
"7","Lucca Dourado","UCF","Jr.","F","13","11","0","22","1.69"
"8","David Bercedo","Quinnipiac","Sr.","F","21","14","7","35","1.67"
"","Emil Jaaskelainen","LIU","Jr.","F","15","12","1","25","1.67"
"","Alex Meinhard","Tulsa","Jr.","F","15","10","5","25","1.67"
"","Ben Stitz","Penn","Sr.","M","18","11","8","30","1.67"
"12","Stas Korzeniowski","Penn","So.","F","18","11","7","29","1.61"
"13","Alex Nagy","Vermont","Sr.","M","17","9","9","27","1.59"
"14","MD Myers","Rutgers","Sr.","F","21","13","7","33","1.57"
"15","Kameron Lacey","Charlotte","Sr.","F","16","9","7","25","1.56"
"","Stefan Sigurdarson","Boston College","Sr.","F","16","12","1","25","1.56"
"17","Gage Guerra","Army West Point","So.","F","15","10","3","23","1.53"
"18","Thaddaeus Dewing","Air Force","Jr.","F","17","11","4","26","1.53"
"19","Brandon Cambridge","Portland","So.","M","21","12","7","31","1.48"
"20","Kieran Richards","ETSU","Sr.","M","17","11","3","25","1.47"
"21","Charlie Sharp","Western Mich.","Sr.","M","21","11","8","30","1.43"
"22","Felipe D'Agostini","Oral Roberts","So.","M","17","9","6","24","1.41"
"","Jelldrik Dallmann","Lipscomb","Sr.","F","17","11","2","24","1.41"
"24","Lucas Meek","Washington","Sr.","M","20","10","8","28","1.40"
"25","Nick Gutmann","Kentucky","Sr.","M","21","5","19","29","1.38"
